album,artists,disc_number,duration_ms,episode,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,available_markets
Sylvan Esso,['Sylvan Esso'],1,200160,FALSE,FALSE,{'isrc': 'USBQU1400022'},{'spotify': 'https://open.spotify.com/track/7bp7QInQ5uIMzYjJqTtjVA'},https://api.spotify.com/v1/tracks/7bp7QInQ5uIMzYjJqTtjVA,7bp7QInQ5uIMzYjJqTtjVA,FALSE,Hey Mami,54,https://p.scdn.co/mp3-preview/4241c4c411e58c9f14b4352703c90e1132233091?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:7bp7QInQ5uIMzYjJqTtjVA,
Skin,['Dijon'],1,230625,FALSE,FALSE,{'isrc': 'QM24S1808239'},{'spotify': 'https://open.spotify.com/track/467t3218y3yihFcyDGWjr0'},https://api.spotify.com/v1/tracks/467t3218y3yihFcyDGWjr0,467t3218y3yihFcyDGWjr0,FALSE,Skin,66,https://p.scdn.co/mp3-preview/b8dac2ff6f7f80e46fb0b916af14974304c082b8?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:467t3218y3yihFcyDGWjr0,
Life Of A Ghost,['Blue Foundation'],1,302826,FALSE,FALSE,{'isrc': 'DKABA0700900'},{'spotify': 'https://open.spotify.com/track/3XHrTm6WE2BOHafLwTT3GR'},https://api.spotify.com/v1/tracks/3XHrTm6WE2BOHafLwTT3GR,3XHrTm6WE2BOHafLwTT3GR,FALSE,Eyes on Fire,66,https://p.scdn.co/mp3-preview/aba14d8764b6ec60832cb58cbdf4624c899f3db3?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:3XHrTm6WE2BOHafLwTT3GR,
Can't Hide,"['Whethan', 'Ashe']",1,184000,FALSE,FALSE,{'isrc': 'QM24S1650119'},{'spotify': 'https://open.spotify.com/track/7CotyU8EcChJlqOFnxPPmI'},https://api.spotify.com/v1/tracks/7CotyU8EcChJlqOFnxPPmI,7CotyU8EcChJlqOFnxPPmI,FALSE,Can't Hide,53,https://p.scdn.co/mp3-preview/254f252350f32fdfd0641f901bd2316841417cd6?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:7CotyU8EcChJlqOFnxPPmI,
Sylvan Esso,['Sylvan Esso'],1,268213,FALSE,FALSE,{'isrc': 'USBQU1400001'},{'spotify': 'https://open.spotify.com/track/30GGIrrJdSNtecPiFcVP5O'},https://api.spotify.com/v1/tracks/30GGIrrJdSNtecPiFcVP5O,30GGIrrJdSNtecPiFcVP5O,FALSE,Coffee,61,https://p.scdn.co/mp3-preview/f3888e1ddd1fb009d6659851cf5ea35e3da75182?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,7,track,spotify:track:30GGIrrJdSNtecPiFcVP5O,
Plural,['Electric Guest'],1,217586,FALSE,FALSE,{'isrc': 'USUM71614152'},{'spotify': 'https://open.spotify.com/track/1kcfGBb6kSrGqNIMW7rAlB'},https://api.spotify.com/v1/tracks/1kcfGBb6kSrGqNIMW7rAlB,1kcfGBb6kSrGqNIMW7rAlB,FALSE,Oh Devil,56,https://p.scdn.co/mp3-preview/f2e486db3b422c91c10552a47df2c8ae7cec6d09?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:1kcfGBb6kSrGqNIMW7rAlB,
B.L.I.S.S.,['Souly Had'],1,159813,FALSE,FALSE,{'isrc': 'QZAPG1772121'},{'spotify': 'https://open.spotify.com/track/0FtuxFKzjbVCQAA3UQZXll'},https://api.spotify.com/v1/tracks/0FtuxFKzjbVCQAA3UQZXll,0FtuxFKzjbVCQAA3UQZXll,FALSE,Crush,57,https://p.scdn.co/mp3-preview/94782cdf03902629d302203b611ed2819df86e75?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:0FtuxFKzjbVCQAA3UQZXll,
They Might've Even Loved Me,['NoMBe'],1,218080,FALSE,FALSE,{'isrc': 'TCACX1753674'},{'spotify': 'https://open.spotify.com/track/5XeoskAXHfUGcCJhTi26K1'},https://api.spotify.com/v1/tracks/5XeoskAXHfUGcCJhTi26K1,5XeoskAXHfUGcCJhTi26K1,FALSE,Young Hearts,56,https://p.scdn.co/mp3-preview/057687a1cd67a32e273df368ed661cf7b1e9c198?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,6,track,spotify:track:5XeoskAXHfUGcCJhTi26K1,
Coast Modern,['Coast Modern'],1,204066,FALSE,FALSE,{'isrc': 'USLGZ1600014'},{'spotify': 'https://open.spotify.com/track/5M7IGym8CgSVOMNvDAGheL'},https://api.spotify.com/v1/tracks/5M7IGym8CgSVOMNvDAGheL,5M7IGym8CgSVOMNvDAGheL,FALSE,Guru,59,https://p.scdn.co/mp3-preview/efc9775e985d423c198e366e9ff928641f9a51c8?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:5M7IGym8CgSVOMNvDAGheL,
Santa Fe,"['DEVOTED', 'Billionaire']",1,212093,FALSE,FALSE,{'isrc': 'FR9W11715618'},{'spotify': 'https://open.spotify.com/track/2Hz8udArpjGaV6Cfw5LCkn'},https://api.spotify.com/v1/tracks/2Hz8udArpjGaV6Cfw5LCkn,2Hz8udArpjGaV6Cfw5LCkn,FALSE,Santa Fe,43,,TRUE,1,track,spotify:track:2Hz8udArpjGaV6Cfw5LCkn,[]
